atp1 atp2 c12                    c12_45                 old_rc12               source
NE   CH2  4.030347871778446e-06  0.0                    3.6760332838792072e-06 #atdhisto_c12
NE   CAH2 3.149574184402289e-06  0.0                    3.6760332838792072e-06 #atdhisto_c12
NE   CH3  2.448580108078591e-06  0.0                    2.742900219889418e-06  #atdhisto_c12
NE   CH2r 3.421320847663108e-06  0.0                    3.2327146659727425e-06 #atdhisto_c12
NE   S    1.544133911550011e-06  0.0                    1.544133911550011e-06  #rc12
NE   SM   2.064082678151929e-06  0.0                    1.544133911550011e-06  #atdhisto_c12
NE   SH   1.3319957855440268e-06 0.0                    1.544133911550011e-06  #atdhisto_c12
NE   H    1.927540226755784e-08  0.0                    2.8298068718749842e-08 #atdhisto_c12
C    C    3.0296190868820765e-05 0.0                    2.598523946232985e-06  #atdhisto_c12
C    CR   9.554138546078327e-06  1.3319957855440268e-06 2.598523946232985e-06  #atdhisto_c12
C    CS   1.110557678004124e-05  2.897745766558051e-06  2.598523946232985e-06  #atdhisto_c12
C    CZ   8.20374377950018e-06   0.0                    2.598523946232985e-06  #atdhisto_c12
C    CH   4.030347871778446e-06  9.271725969950735e-07  2.598523946232985e-06  #atdhisto_c12
C    CH1  2.1373642831810142e-05 5.556363657234973e-06  1.3051797320401952e-05 #atdhisto_c12
C    CH1t 1.853615051555947e-05  4.2522323000155225e-05 1.3051797320401952e-05 #atdhisto_c12
C    CAH  2.6382245451254078e-05 2.2936907742668513e-05 1.3051797320401952e-05 #atdhisto_c12
C    CH2  1.2884910181278791e-05 3.421320847663108e-06  6.333854714763538e-06  #atdhisto_c12
C    CAH2 9.554138546078327e-06  2.2936907742668513e-05 6.333854714763538e-06  #atdhisto_c12
C    CH3  7.030422589392208e-06  2.064082678151929e-06  4.726053914163474e-06  #atdhisto_c12
C    CH2r 6.503393009784176e-06  1.7356754565546296e-06 5.570010782641626e-06  #atdhisto_c12
C    S    2.6605634662742835e-06 0.0                    2.6605634662742835e-06 #rc12
C    SM   4.37074965270138e-06   4.737322988859966e-06  2.6605634662742835e-06 #atdhisto_c12
C    SH   5.131884534481803e-06  2.897745766558051e-06  2.6605634662742835e-06 #atdhisto_c12
C    H    1.1292692029579082e-07 3.578500073173326e-08  4.8757952426321354e-08 #atdhisto_c12
CR   CR   3.149574184402289e-06  0.0                    2.598523946232985e-06  #atdhisto_c12
CR   CS   4.737322988859966e-06  0.0                    2.598523946232985e-06  #atdhisto_c12
CR   CZ   2.448580108078591e-06  0.0                    2.598523946232985e-06  #atdhisto_c12
CR   CH   2.6644993987597274e-06 1.110557678004124e-05  2.598523946232985e-06  #atdhisto_c12
CR   CH1  1.853615051555947e-05  0.0                    1.3051797320401952e-05 #atdhisto_c12
CR   CH1t 1.3869290966783295e-05 0.0                    1.3051797320401952e-05 #atdhisto_c12
CR   CAH  1.4922176228398963e-05 2.6382245451254078e-05 1.3051797320401952e-05 #atdhisto_c12
CR   CH2  4.737322988859966e-06  0.0                    6.333854714763538e-06  #atdhisto_c12
CR   CAH2 3.149574184402289e-06  2.4604350727657302e-05 6.333854714763538e-06  #atdhisto_c12
CR   CH3  3.7144078137182355e-06 0.0                    4.726053914163474e-06  #atdhisto_c12
CR   CH2r 3.421320847663108e-06  1.3319957855440268e-06 5.570010782641626e-06  #atdhisto_c12
CR   S    2.6605634662742835e-06 0.0                    2.6605634662742835e-06 #rc12
CR   SM   4.37074965270138e-06   0.0                    2.6605634662742835e-06 #atdhisto_c12
CR   SH   3.7144078137182355e-06 0.0                    2.6605634662742835e-06 #atdhisto_c12
CR   H    8.091373121174105e-08  9.05167362258012e-08   4.8757952426321354e-08 #atdhisto_c12
CS   CS   5.556363657234973e-06  0.0                    2.598523946232985e-06  #atdhisto_c12
CS   CZ   6.012808612204707e-06  0.0                    2.598523946232985e-06  #atdhisto_c12
